query,execution_time_s,puissance_moyenne_W,energy_consumed_J
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1531,78.552,7.8552
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1533,73.68,7.368
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1504,79.349,7.9349
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1521,69.939,6.9939
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1504,76.011,7.6011
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1547,69.722,6.9722
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1547,95.506,9.5506
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1505,78.576,7.8576
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1544,103.878,10.3878
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1517,68.41,6.841
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1518,73.841,7.3841
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1511,101.996,10.1996
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1527,72.561,7.2561
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1529,70.297,7.0297
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1526,77.67,7.767
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1508,73.532,7.3532
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1523,74.914,7.4914
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1506,70.07,7.007
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1518,80.225,8.0225
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.151,79.932,7.9932
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1516,72.494,7.2494
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1506,77.639,7.7639
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1526,72.766,7.2766
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1511,77.317,7.7317
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1539,73.653,7.3653
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1513,109.97,10.997
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.152,70.845,7.0845
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1517,73.861,7.3861
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1519,72.743,7.2743
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1542,92.147,9.2147
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1505,69.107,6.9107
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1507,78.575,7.8575
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1511,73.46,7.346
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1524,77.854,7.7854
