Requête,execution_time_s,puissance_moyenne_W,energy_consumed_J,SELECT(n),SELECTION,JOIN(n),FILTER(1ou 0),UNION(n ou 0),ORDER BY(1ou 0),GROUP BY(1ou 0),LIMIT/OFFSET(1ou 0)
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department8.University3440.edu/GraduateCourse3> .
}",0.1508,84.569,8.4569,1,2,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department17.University5347.edu/GraduateCourse3> .
}",0.15,91.088,9.1088,1,2,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department13.University2936.edu/GraduateCourse5> .
}",0.1522,91.292,9.1292,1,2,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department2.University8792.edu/GraduateCourse4> .
}",0.1513,71.72,7.172,1,2,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department6.University1182.edu/GraduateCourse1> .
}",0.1548,89.769,8.9769,1,2,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department7.University10008.edu/GraduateCourse4> .
}",0.1501,96.267,9.6267,1,2,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department11.University6929.edu/GraduateCourse3> .
}",0.1518,81.111,8.1111,1,2,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department18.University537.edu/GraduateCourse4> .
}",0.1509,87.725,8.7725,1,2,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department8.University5817.edu/GraduateCourse3> .
}",0.1524,94.155,9.4155,1,2,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department6.University8111.edu/GraduateCourse1> .
}",0.1504,70.942,7.0942,1,2,0,0,0,0,0,0
